code,name,security_id,industry,sector_index
NIFTYQLITY,NIFTYQLITY,,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,
HDFCNIFIT,HDFCNIFIT,,HDFC NIFTY IT ETF,
SETFNIF50,SETFNIF50,,Nifty 50,
LOWVOLIETF,LOWVOLIETF,,Nifty 100 Low Volatility 30 Index,
MIDCAPIETF,MIDCAPIETF,,Nifty Midcap 150,
GROWWDEFNC,GROWWDEFNC,,Nifty India Defence Index- Total Return Index,
AONETOTAL,AONETOTAL,,Nifty Total Market Index,
UTINIFTETF,UTINIFTETF,,Nifty 50,
MONQ50,MONQ50,,Nasdaq Q-50 Total Return Index,
MOLOWVOL,MOLOWVOL,,Nifty Midcap 100 TRI,
MON50EQUAL,MON50EQUAL,,Nifty 50 Equal Weight Total Return Index,
IT,IT,,NIFTY IT Index,
EQUAL200,EQUAL200,,BSE 200 Equal Weight,
QUAL30IETF,QUAL30IETF,,ICICI Prudential Nifty 200 Quality 30 ETF,
HDFCGROWTH,HDFCGROWTH,,HDFC NIFTY Growth Sectors 15 ETF,
GSEC10IETF,GSEC10IETF,,ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF,
NPBET,NPBET,,Nifty Private Bank Index,
TNIDETF,TNIDETF,,Nifty India Digital Index,
CONSUMBEES,CONSUMBEES,,Nifty India Consumption TRI,
QNIFTY,QNIFTY,,Nifty 50,
SBIETFPB,SBIETFPB,,Nifty Private Bank Index,
BFSI,BFSI,,Nifty Financial Services Index,
ABSLPSE,ABSLPSE,,Aditya Birla Sun Life Nifty PSE ETF,
MOM50,MOM50,,Nifty 50,
HDFCNIFTY,HDFCNIFTY,,Nifty 50,
MOMIDMTM,MOMIDMTM,,Nifty Midcap 150 Momentum 50 Total Return Index,
LTGILTBEES,LTGILTBEES,,NIFTY 8-13 yr G-Sec Index,
LICNMID100,LICNMID100,,LIC MF Nifty Midcap 100 ETF,
MAKEINDIA,MAKEINDIA,,Nifty India Manufacturing Total Return Index,
BBETF0432,BBETF0432,,Nifty BHARAT Bond Index - April 2032,
HDFCNIF100,HDFCNIF100,,HDFC NIFTY 100 ETF,
NEXT50IETF,NEXT50IETF,,Nifty Next 50,
PHARMABEES,PHARMABEES,,Nifty Pharma TRI,
NV20BEES,NV20BEES,,Nifty50 Value20 TRI,
AXISBPSETF,AXISBPSETF,,Nifty AAA Bond Plus SDL Apr 2026 50:50 Index,
LICNETFSEN,LICNETFSEN,,SENSEX,
LICNETFGSC,LICNETFGSC,,GSEC10 NSE Index,
ALPL30IETF,ALPL30IETF,,Nifty Alpha Low-Volatility 30 Index,
GSEC10YEAR,GSEC10YEAR,,Mirae Asset Nifty 8-13 yr G-Sec ETF,
GSEC5IETF,GSEC5IETF,,Nifty 5 yr Benchmark G-Sec Index,
TECH,TECH,,Nifty IT TRI Index,
NIFTYIETF,NIFTYIETF,,Nifty 50,
FMCGIETF,FMCGIETF,,Nifty FMCG Index,
MIDCAPETF,MIDCAPETF,,Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF,
NIFTY1,NIFTY1,,Nifty 50,
ABSLNN50ET,ABSLNN50ET,,Nifty Next 50,
MAFANG,MAFANG,,NYSE FANG+ Total Return Index,
LIQUIDCASE,LIQUIDCASE,,Zerodha Nifty 1D Rate Liquid ETF,
GILT5YBEES,GILT5YBEES,,Nifty 5 yr Benchmark G-Sec Index,
CPSEETF,CPSEETF,,CPSE ETF,
BSLNIFTY,BSLNIFTY,,Nifty 50,
BANKIETF,BANKIETF,,Nifty Bank,
HDFCLIQUID,HDFCLIQUID,,HDFC Nifty 1D Rate Liquid ETF,
AXISHCETF,AXISHCETF,,Nifty Healthcare Index,
NIFTYBETF,NIFTYBETF,,Bajaj Finserv Nifty 50 ETF,
EMULTIMQ,EMULTIMQ,,Nifty500 Multicap Momentum Quality 50 Total Return Index,
NIFTY50ADD,NIFTY50ADD,,Nifty 50 Index,
SELECTIPO,SELECTIPO,,BSE Select IPO Index,
GROWWLIQID,GROWWLIQID,,Nifty 1D Rate Index,
JUNIORBEES,JUNIORBEES,,Nippon India ETF Nifty Next 50 Junior BeES,
LIQUIDPLUS,LIQUIDPLUS,,Nifty 1D Rate Index,
SBIETFQLTY,SBIETFQLTY,,Nifty 200 Quality 30 Index,
BANKETF,BANKETF,,Mirae Asset Nifty Bank ETF,
LIQUIDBETF,LIQUIDBETF,,Bajaj Finserv Nifty 1D Rate Liquid ETF,
LIQUIDADD,LIQUIDADD,,DSP S&P BSE Liquid Rate ETF,
NV20,NV20,,Nifty50 Value 20,
LIQUID1,LIQUID1,,Kotak Nifty 1D Rate Liquid ETF,
CASHIETF,CASHIETF,,BSE Liquid Rate Index,
LIQUIDSHRI,LIQUIDSHRI,,SHRIRAM NIFTY 1D RATE LIQUID ETF,
ABSLLIQUID,ABSLLIQUID,,Aditya Birla Sun Life CRISIL Overnight Fund AI ETF,
NIF10GETF,NIF10GETF,,UTI Nifty 10 yr Benchmark G-Sec ETF,
CONSUMER,CONSUMER,,Nifty India New AgeConsumption,
LIQUIDSBI,LIQUIDSBI,,SBI NIFTY 1D Rate ETF,
NEXT30ADD,NEXT30ADD,,BSE SENSEX Next 30 Index,
LIQUIDBEES,LIQUIDBEES,,Government Securities,
METALIETF,METALIETF,,Nifty Metal Index,
LIQUIDETF,LIQUIDETF,,Nifty1D rate index,
LIQUIDIETF,LIQUIDIETF,,S&P BSE Liquid Rate Index,
PVTBANIETF,PVTBANIETF,,Nifty Private Bank Index,
MIDSELIETF,MIDSELIETF,,S&P BSE Midcap Select Index,
MULTICAP,MULTICAP,,Nifty500 Multicap 50:25:25 Index,
LIQUID,LIQUID,,Mirae Asset Nifty 1D Rate Liquid ETF,
NIFTYBEES,NIFTYBEES,,Nifty 50,
UTINEXT50,UTINEXT50,,Nifty Next 50,
HDFCPVTBAN,HDFCPVTBAN,,HDFC NIFTY Private Bank ETF,
MOM100,MOM100,,Nifty Midcap 100,
